INDEX,VALUE
1,38.2
2,38.7
3,39.3
4,39.9
5,40.6
6,40.8
7,40.8
8,40.6
9,40.4
10,40.3
11,40.2
12,40.3
13,40.3
14,40.3
15,40.1
16,39.9
17,39.6
18,39.3
19,39
20,38.8
21,38.4
22,38.3
23,38
24,37.9
25,37.9
26,37.9
27,37.8
28,37.8
29,37.7
30,37.8
31,37.8
32,38
33,38
34,37.9
35,38
36,37.9
37,38
38,38
39,38.1
40,38.2
41,38.2
42,38.1
43,38.1
44,38
45,37.9
46,37.9
47,37.8
48,37.9
49,38
50,38
51,38.1
52,38.1
53,38.1
54,38.3
55,38.4
56,38.5
57,38.8
58,38.9
59,39.2
60,39.3
61,39.8
62,40.3
63,40.6
64,40.8
65,41.1
66,41.3
67,41.6
68,42
69,42.8
70,43.2
71,43.8
72,44
73,44.4
74,45.2
75,46.6
76,47.1
77,47.5
78,47.7
79,48
80,48.2
81,48.7
82,48.9
83,49.1
84,49.1
85,49.3
86,49.8
87,50.3
88,51.2
89,51.9
90,52.3
91,52.5
92,53
93,53.9
94,54.3
95,55
96,55.8
97,56.3
98,57.7
99,58.6
100,59.1
101,59.3
102,59.6
103,59.8
104,59.8
105,60.1
106,60.4
107,60.8
108,61.1
109,61.7
110,61.8
111,61.9
112,61.8
113,61.5
114,60.8
115,60.4
116,59.8
117,59
118,58.6
119,58
120,57.8
121,56.9
122,55.8
123,56
124,55.8
125,56.2
126,56.2
127,56.3
128,56.2
129,56.2
130,56.2
131,55.9
132,55.9
133,55.8
134,55.8
135,55.9
136,56
137,56
138,56.2
139,56.3
140,56.3
141,56.2
142,56.3
143,56.3
144,56.3
145,56.2
146,56.4
147,56.7
148,57
149,56.8
150,56.9
151,57
152,57.1
153,57.1
154,57
155,57
156,56.9
157,57
158,56.9
159,56.9
160,56.9
161,56.9
162,57
163,56.9
164,57
165,57
166,56.9
167,56.8
168,56.8
169,56.8
170,56.7
171,56.6
172,56.5
173,56.4
174,56.3
175,56.2
176,56.2
177,56.2
178,55.9
179,55.6
180,55.7
181,55.6
182,55.4
183,55.3
184,55.1
185,55
186,55.1
187,55
188,55
189,55
190,55
191,55.2
192,55.2
193,55.3
194,55.4
195,55.5
196,55.5
197,55.6
198,55.6
199,55.6
200,55.6
201,55.6
202,55.6
203,55.8
204,55.9
205,56
206,56
207,56
208,56
209,56.1
210,56.2
211,56.2
212,56.2
213,56.2
214,56.2
215,56.2
216,56.3
217,56.3
218,56.3
219,56.4
220,56.4
221,56.4
222,56.4
223,56.5
224,56.7
225,56.8
226,56.9
227,57.1
228,57.2
229,57.2
230,57.4
231,57.5
232,57.6
233,57.8
234,57.8
235,57.9
236,58.1
237,58.2
238,58.3
239,58.5
240,58.6
241,58.7
242,58.8
243,59
244,59.2
245,59.3
246,59.5
247,59.6
248,59.7
249,59.9
250,59.9
251,60.1
252,60.2
253,60.4
254,60.8
255,61
256,61.4
257,61.8
258,61.9
259,62
260,62.3
261,62.4
262,62.7
263,63.1
264,63.3
265,63.4
266,63.8
267,63.9
268,64.1
269,64.5
270,64.7
271,64.9
272,65.2
273,65.5
274,65.8
275,66.3
276,66.5
277,66.7
278,66.9
279,67.2
280,67.7
281,68.2
282,68.7
283,68.8
284,69.1
285,69.3
286,69.5
287,69.8
288,69.9
289,70.1
290,70.3
291,70.6
292,71
293,71.3
294,71.9
295,72
296,72.3
297,72.7
298,73.2
299,73.6
300,74.1
301,74.7
302,75.2
303,76
304,76.9
305,77.8
306,79
307,79.8
308,81
309,81.4
